Designator,Mid X,Mid Y,Rotation,Layer
C1,113.0172,-55.7176,180.0,top
C2,118.364,-36.1442,270.0,top
C3,113.2104,-56.9722,180.0,top
C4,112.0648,-59.6392,0.0,top
C5,111.4806,-55.1942,270.0,top
C6,115.1128,-58.0898,90.0,top
C7,115.2906,-60.8076,90.0,top
C8,117.8052,-34.4678,0.0,top
D1,113.0304,-53.3908,0.0,top
D2,113.792,-40.894,270.0,top
D3,115.5446,-36.1188,0.0,top
J1,113.0554,-31.8516,180.0,top
J2,106.68,-55.4532,180.0,bottom
J3,121.0564,-55.4532,180.0,bottom
R1,114.3762,-34.3154,0.0,top
R2,114.9858,-38.7604,90.0,top
R3,113.2332,-43.18,90.0,top
SW1,113.5634,-49.5554,90.0,top
U2,113.7512,-55.0318,0.0,bottom
Y1,112.9792,-63.7286,90.0,top
