Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C14, C2, C3, C4, C5, C7, C9",CAPC1005X55N,11,100nF,C1525
C13,CAPC1005X55N,1,10uF,C1525
C6,CAPC1005X55N,1,4.7uF,C1525
C8,CAPC1005X55N,1,1uF,C1525
IC1,LQFP-64_10x10mm_P0.5mm,1,STM32F103R8T6,C46034
J1,AMPHENOL_76308-103,1,76308-103,
J2,SAMTEC_TS-104-G-AA,1,TS-104-G-AA,
"J3, J4",VALCON_V06-1X15-SV-GF-1,2,  ,
L1,INDC1005X55N,1,27nH,C76760
"R1, R2, R3",RESC1005X40N,3,10K,C25744
R4,RESC1005X40N,1,330,C25744
R5,RESC1005X40N,1,170,C52923
R6,RESC1005X40N,1,3.5k,C2085341
R7,RESC1005X40N,1,220,C25091
U1,SOT229P700X180-4N,1,AMS1117-3.3,C6186
"U2, U3",CP_Elec_4x5.4,2,10uF,C3343
"U4, U5",DIO_PESD5V0R1BSFYL,2,PESD2V0Y1BSFYL,
Y1,XTAL_NX3225GD-8MHZ-STD-CRA-3,1,NX3225GD-8MHZ-STD-CRA-3,
