Designator,Mid X,Mid Y,Rotation,Layer
C1,98.9584,-64.2366,225.0,top
C11,110.7948,-81.4832,270.0,top
C2,105.8164,-70.9168,315.0,top
C3,98.1202,-63.4238,225.0,top
C4,103.632,-76.1746,315.0,top
C5,107.3404,-76.6064,225.0,top
C6,98.662811,-66.081589,45.0,top
C7,107.696,-60.1726,270.0,top
D1,106.807,-81.2546,180.0,top
D2,101.3206,-81.7626,180.0,top
D3,97.8154,-81.8134,0.0,top
J1,102.4382,-84.4042,180.0,top
J2,94.7166,-60.701,0.0,bottom
J3,110.0836,-60.6248,0.0,bottom
R1,103.632,-80.8462,270.0,top
R2,105.8164,-78.9686,270.0,top
R3,97.79,-71.1708,0.0,top
SW2,102.0904,-59.3262,0.0,top
U1,102.470297,-68.174157,225.0,top
Y1,105.2068,-74.168,135.0,top
